Flight_Date,Year,Month,Month_Name,Year_Month,Airport_ICAO,Airport_Name,Country,IFR_Departures,Total_Delay_Minutes
2020-01-03,2020,1,January,2020-01,LSGG,Geneva,Switzerland,279.0,4175.24
2020-01-03,2020,1,January,2020-01,LSZH,Zürich,Switzerland,338.0,4344.89
2020-01-03,2020,1,January,2020-01,LZIB,Bratislava,Slovakia,24.0,297.0
2020-01-04,2020,1,January,2020-01,EBBR,Brussels,Belgium,204.0,2446.0
2020-01-04,2020,1,January,2020-01,EBCI,Brussels - Charleroi,Belgium,69.0,425.0
2020-01-04,2020,1,January,2020-01,EDDB,Berlin - Brandenburg,Germany,95.0,1278.22
2020-01-04,2020,1,January,2020-01,EDDC,Dresden,Germany,15.0,77.0
2020-01-04,2020,1,January,2020-01,EDDF,Frankfurt,Germany,585.0,7828.51
2020-01-04,2020,1,January,2020-01,EDDG,Muenster-Osnabrueck,Germany,14.0,126.0
2020-01-04,2020,1,January,2020-01,EDDH,Hamburg,Germany,140.0,2076.65
2020-01-04,2020,1,January,2020-01,EDDK,Cologne-Bonn,Germany,124.0,1613.97
2020-01-04,2020,1,January,2020-01,EDDL,Dusseldorf,Germany,202.0,2733.57
2020-01-04,2020,1,January,2020-01,EDDM,Munich,Germany,436.0,5300.0
2020-01-04,2020,1,January,2020-01,EDDN,Nuremberg,Germany,47.0,274.0
2020-01-04,2020,1,January,2020-01,EDDP,Leipzig-Halle,Germany,63.0,727.94
2020-01-04,2020,1,January,2020-01,EDDR,Saarbruecken,Germany,2.0,0.0
2020-01-04,2020,1,January,2020-01,EDDS,Stuttgart,Germany,111.0,1547.0
2020-01-04,2020,1,January,2020-01,EDDT,Berlin - Tegel,Germany,182.0,2016.83
2020-01-04,2020,1,January,2020-01,EDDV,Hanover,Germany,55.0,583.36
2020-01-04,2020,1,January,2020-01,EDDW,Bremen,Germany,20.0,167.7
2020-01-04,2020,1,January,2020-01,EETN,Tallinn,Estonia,40.0,262.0
2020-01-04,2020,1,January,2020-01,EFHK,Helsinki - Vantaa,Finland,220.0,2620.35
2020-01-04,2020,1,January,2020-01,EGBB,Birmingham,United Kingdom,111.0,1779.0
2020-01-04,2020,1,January,2020-01,EGCC,Manchester,United Kingdom,214.0,3475.0
2020-01-04,2020,1,January,2020-01,EGGD,Bristol,United Kingdom,100.0,1332.0
2020-01-04,2020,1,January,2020-01,EGGW,London - Luton,United Kingdom,172.0,2118.0
2020-01-04,2020,1,January,2020-01,EGKK,London - Gatwick,United Kingdom,356.0,6325.0
2020-01-04,2020,1,January,2020-01,EGLC,London - City,United Kingdom,32.0,358.0
2020-01-04,2020,1,January,2020-01,EGLL,London - Heathrow,United Kingdom,594.0,5262.0
2020-01-04,2020,1,January,2020-01,EGNT,Newcastle,United Kingdom,38.0,195.0
2020-01-04,2020,1,January,2020-01,EGPD,Aberdeen,United Kingdom,33.0,276.0
2020-01-04,2020,1,January,2020-01,EGPF,Glasgow,United Kingdom,76.0,310.0
2020-01-04,2020,1,January,2020-01,EGPH,Edinburgh,United Kingdom,122.0,1182.0
2020-01-04,2020,1,January,2020-01,EGSS,London - Stansted,United Kingdom,273.0,3200.0
2020-01-04,2020,1,January,2020-01,EHAM,Amsterdam - Schiphol,Netherlands,570.0,9106.1
2020-01-04,2020,1,January,2020-01,EICK,Cork,Ireland,65.0,124.15
2020-01-04,2020,1,January,2020-01,EIDW,Dublin,Ireland,274.0,2804.0
2020-01-04,2020,1,January,2020-01,EKCH,Copenhagen - Kastrup,Denmark,228.0,3630.3
2020-01-04,2020,1,January,2020-01,ELLX,Luxembourg,Luxembourg,76.0,1820.0
2020-01-04,2020,1,January,2020-01,ENGM,Oslo - Gardermoen,Norway,189.0,2252.0
2020-01-04,2020,1,January,2020-01,EPWA,Warszawa - Chopina,Poland,215.0,3077.27
2020-01-04,2020,1,January,2020-01,ESGG,Göteborg,Sweden,63.0,949.0
